,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
15,JUNIN,2013,2,21.4,20.2,64.6,NA,24.2,0.9,83.9,NA,NA,123,58,173,2,NA,20.8,48,NA,53.8,NA,1574,NA,NA,NA,NA,5.6,33.3,NA,5.6,74.1,40.7,21.5,NA,14.8,NA,NA,NA,87.1,70.4,90.8,58.8,3.4,3.4,4.9,NA,11.9,32.8,9.2,4.9,26,13.4
16,LA LIBERTAD,2013,6.6,30.6,27.2,71.8,NA,22.1,0.1,84,NA,NA,236,62,5,0,NA,15.4,50.1,NA,64.1,NA,3834,NA,NA,NA,NA,6.4,25.7,NA,6.4,73.7,52.2,36.7,NA,9,NA,NA,NA,86.8,77.8,93.3,68.6,3.2,6,5.3,NA,15.3,31.6,12.6,3.2,29.5,16.7
17,LAMBAYEQUE,2013,2,21.4,21.7,72.2,NA,14.2,1.8,94.4,NA,NA,131,64,1,0,NA,5.9,48.9,NA,56.9,NA,2140,NA,NA,NA,NA,6.4,22.2,NA,6.4,86.2,49.1,35.2,NA,8,NA,NA,NA,85.8,77.2,96.7,72.3,2.9,3.4,4.1,NA,18.3,26.7,9.3,5,27.9,8
18,LIMA,2013,0.2,12.8,38.6,91.2,22,4.1,0.1,99.7,NA,NA,2495,NA,NA,NA,NA,3.4,NA,NA,62.3,NA,NA,NA,NA,NA,NA,2.1,29.8,NA,2.1,99.9,93.4,93.5,NA,NA,NA,NA,37,94.7,92.9,99.7,97.8,NA,NA,7.8,4.7,18.1,9.9,14.5,4.5,17.5,20.7
19,LORETO,2013,6.6,37.6,20.3,29.4,NA,27.7,0.9,63.1,NA,NA,297,136,4633,12,NA,2.2,49,NA,74.2,NA,858,NA,NA,NA,NA,5.4,14.4,NA,5.4,15.4,8.1,7.7,NA,15.4,NA,NA,NA,57.9,38.5,75.5,31.5,3.1,0.7,4.8,NA,21.8,35.2,5.4,6.7,29.9,8.2
20,MADRE DE DIOS,2013,0.1,4.6,26.8,48.1,NA,11.6,0.9,93.4,NA,NA,67,177,193,4,NA,31.2,51.4,NA,46.5,NA,148,NA,NA,NA,NA,3.7,27.3,NA,3.7,47.7,31.9,16.6,NA,18.1,NA,NA,NA,79.3,52,90.5,69.7,11.6,10.8,8,NA,13.1,31,NA,4.2,19.1,19.9
21,MOQUEGUA,2013,2,13.1,51.2,83,NA,4.1,0.2,99.2,NA,NA,30,64,0,1,NA,21,51.6,NA,62.8,NA,305,NA,NA,NA,NA,4.7,33,NA,4.7,87.9,93.8,74.6,NA,16.2,NA,NA,NA,93,84.9,96.2,76.4,9.9,8.3,9,NA,13.3,19.9,6.6,1.1,26.8,13.9
22,PASCO,2013,13.8,50.5,24.1,51.9,NA,26.5,0.4,79.8,NA,NA,22,23,14,5,NA,9.6,56.9,NA,64.6,NA,218,NA,NA,NA,NA,6.2,27.7,NA,6.2,64.2,53.8,39.4,NA,10.6,NA,NA,NA,73.9,62.3,82.3,49.8,1,-0.7,4.2,NA,14.4,42.5,NA,-2.6,32.5,8
23,PIURA,2013,6.6,37.6,21.5,55.2,NA,24.9,0.8,80.5,NA,NA,173,26,1,0,NA,6.7,51.5,NA,61.7,NA,1676,NA,NA,NA,NA,7.9,19.7,NA,7.9,78.2,41.2,20.9,NA,10.4,NA,NA,NA,82.5,59.9,93.9,53.9,2.9,3.8,4.5,NA,20.1,29.3,9,5.6,28.9,9.6
24,LIMA PROVINCIAS,2013,2,13.1,31.4,64.5,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,19.1,NA,NA,65.5,NA,NA,NA,NA,NA,NA,4.5,19.9,NA,4.5,92.1,71.4,54.3,NA,NA,NA,NA,NA,84.5,69.1,96.4,79.3,NA,NA,5.1,NA,17.4,19.6,7.9,1.2,23.7,14.1
