,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
214,LORETO,2018,6.8,34.5,20.6,36.7,NA,20,0.9,70.6,27,NA,481,119,4387,14,62.6,NA,51.5,NA,84.5,13.5,1062,4.1,1.9,11,5.9,6.4,16.7,NA,6.4,25.7,9.5,8.5,43.3,11.7,NA,NA,NA,58.9,45.8,76.9,43.7,8.8,8.6,6.1,NA,18.5,27,5.6,4.2,30.3,NA
215,MADRE DE DIOS,2018,0.5,3.1,23.3,57.8,NA,7,0.4,96.7,23,NA,92,125,4,20,62.1,NA,52.9,NA,68.9,18.7,192,8.1,6.7,26.2,20.9,4.3,35.1,NA,4.3,59.6,51.3,10.5,43.1,10.8,NA,NA,NA,86.7,60.1,94.9,75.8,-10.3,-11,7.4,NA,11.4,15.4,5.1,2.1,22.1,19
216,MOQUEGUA,2018,0.5,12.6,49.9,90.9,NA,2.3,0.3,99.2,13,NA,47,65,0,3,64.6,NA,64.9,NA,79.8,10.2,333,30.2,31.3,50.1,52.6,4.6,43.3,NA,4.6,92.5,90.6,75.5,57,8.4,NA,NA,NA,97.2,92,95.9,82.6,-1,0.3,8.9,NA,13.6,13.1,5.4,3.4,27.7,16.4
217,PASCO,2018,6.8,34.5,26.9,68.8,NA,19.3,2.6,95.6,27,NA,16,15,0,2,51.6,NA,62,NA,84.4,10.7,264,11.8,12.6,32.3,31.4,6.3,27.2,NA,6.3,73.2,42.6,32.6,43.2,11.3,NA,NA,NA,84.7,74.3,89.4,56.3,-0.3,-4.5,4.9,NA,16.9,46.6,5.2,-0.6,27.3,9.9
218,PIURA,2018,3.1,23.1,29.1,68.3,NA,13.1,0.7,91,23,NA,286,21,0,1,78.2,NA,61.1,NA,77.9,6.8,2343,13.6,11.4,31.1,27.4,8,23.6,NA,8,85.5,52.6,46.1,53,15.3,NA,NA,NA,88.7,72,95.6,64.3,4.9,2.4,5.7,NA,17.9,23.7,9.7,3.8,30,8.6
219,LIMA PROVINCIAS,2018,0.5,12.6,31,77.9,NA,6.7,0.1,98.6,NA,NA,223,99,NA,3,72.6,NA,64.1,NA,77.4,11.1,NA,15,13.8,35.8,33.2,4.4,26.5,NA,4.4,88.9,71,56.7,73.1,11,NA,NA,NA,92.1,79.6,98.6,83.8,NA,NA,6.6,NA,17.8,13.4,6,0.6,22.8,20.5
220,PUNO,2018,6.8,34.5,13.7,57,NA,15,0.1,92.2,24,NA,92,30,0,1,60,NA,32.8,NA,70.7,6.7,1574,10.1,10.6,35.1,35.7,8.7,28.1,NA,8.7,88.2,49.5,21.4,49.8,13.5,NA,NA,NA,68.3,70.8,92.2,83.4,3.1,0.8,4.6,NA,15.5,34.9,6.8,-2,27.9,25.1
221,RESTO PAIS,2018,4,24,24,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,76.1,93.5,65.2,NA,NA,NA,3.7,15.6,NA,NA,NA,NA,11.7
222,RURAL,2018,10,42.1,8.5,42,26.2,25.7,0.5,79.8,27,13,NA,NA,NA,NA,53.5,NA,50.3,109,85.3,8.2,NA,2.9,3.1,13,13,14.5,15.2,1,14.5,75,50.2,22.3,47.5,10.6,NA,NA,16.8,73.6,51.1,82.2,23.1,NA,NA,3.9,NA,13.2,58,3.7,3,27.6,8.5
223,SAN MARTIN,2018,3.1,23.1,15.7,63.8,NA,10.5,1.4,89.8,27,NA,167,33,15,8,64.6,NA,56.5,NA,82.1,15.2,560,7.9,6.1,27.6,20,7.3,19.9,NA,7.3,82.1,39.8,19.4,43.3,10.8,NA,NA,NA,88.1,69.2,94.8,56.5,-0.1,2.3,6,NA,17,25.2,5.6,-0.5,25.3,7.2
224,SELVA,2018,4.6,26.5,16.7,50.7,22.2,17.2,0.9,83.2,NA,NA,NA,NA,NA,NA,63.4,NA,53.9,NA,NA,13.3,NA,NA,NA,NA,NA,7.3,18.7,1,7.3,NA,NA,NA,NA,NA,NA,NA,35.1,NA,57.8,85.4,52.3,NA,NA,NA,2.7,15.7,31.6,NA,3.2,NA,7.7
225,SELVA RURAL,2018,7.6,38.3,NA,NA,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA
226,SELVA URBANA,2018,2.8,19.3,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA
227,SIERRA,2018,6.3,30.4,19.3,71.9,29.4,21.1,0.3,91,NA,NA,NA,NA,NA,NA,60.5,NA,48.7,NA,NA,8.1,NA,NA,NA,NA,NA,9.9,28.1,1,9.9,NA,NA,NA,NA,NA,NA,NA,20,NA,77.1,93.2,55.2,NA,NA,NA,4.3,14,44.3,NA,2.4,NA,13.5
228,SIERRA RURAL,2018,11.9,46.1,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
229,SIERRA URBANA,2018,1.3,16.7,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
230,TACNA,2018,0.5,12.6,31.6,92.9,NA,1.3,0.3,98.2,23,NA,112,103,0,0,69.2,NA,52.4,NA,57.6,6.7,1131,31.1,31,58,60.1,3.2,39.3,NA,3.2,91,81.1,68,53.1,5.7,NA,NA,NA,96.8,93.9,97.2,91.1,5.4,4.1,6.6,NA,14.3,13.7,6.5,-2.9,20.1,24.6
231,TOTAL,2018,2.8,20.5,30.1,79.1,25.6,12.2,0.5,93.7,18.6,10,7846,73,144,6,68.9,NA,55,53,76.5,11.2,82436,16.2,14.1,34.8,30.7,5.6,28.8,1,5.6,81.1,61.5,39.6,56.7,10.9,NA,NA,30.4,90.4,82.6,95.5,76.4,2,2.3,7.1,4.8,16.9,26.1,9,2.6,25.7,14.8
232,TUMBES,2018,0.5,12.6,24,68.3,NA,8.1,0.7,98.3,23,NA,67,41,8,5,73.3,NA,67.3,NA,84,10.9,229,9.5,6.3,22.3,17.7,3,28.2,NA,3,92.7,70.3,57.4,51.1,12.9,NA,NA,NA,79.1,74.3,99.6,91.6,2,3,6.2,NA,17.2,8.7,5.9,-0.4,23.1,9.1
233,UCAYALI,2018,0.5,12.6,24.7,41.2,NA,17.8,0.7,88.9,24,NA,393,151,8,4,80.8,NA,56.8,NA,74.2,14.8,525,6.6,4.1,17.3,10.8,4.5,18.1,NA,4.5,48.9,27.1,14.2,33.9,9.2,NA,NA,NA,75.7,49,89,73.1,0.2,0.6,6.2,NA,16.9,18.5,6.1,8.5,22.3,NA
234,URBANA,2018,0.8,14.4,35.6,89.5,25.5,7.3,0.4,98.5,15.8,9,NA,NA,NA,NA,72.7,NA,56.4,41,74,11.9,NA,17.9,15.4,37.8,33.1,3.4,32,1,3.4,93.5,84.2,74.3,62,11,NA,NA,31.5,95.3,91.4,99.3,90.2,NA,NA,7.7,NA,17.8,13.9,10.5,2,22.5,16.5
235,AMAZONAS,2019,3,30.5,13.1,63.3,NA,17.9,1.1,83,NA,NA,201,19,435,1,58,NA,NA,NA,89.9,9.2,265,7.5,11.7,26.9,31.4,8,25.8,NA,8,67.5,60.3,54.8,58,9,6,28.7,NA,90.1,67.7,83,44.1,1.1,-2.3,4.9,NA,13.5,42.8,3.6,3.5,25.5,7.9
236,ANCASH,2019,3,13.3,28,82.3,NA,16.2,0.1,97.3,NA,NA,183,42,0,2,58.5,NA,NA,NA,82.7,7.3,1645,10.2,12.7,30.2,30.5,9,27.8,NA,9,94.5,75,68.7,72.7,6.1,3,29.6,NA,96.6,84.2,97.4,58.8,-4.8,-6.8,6.3,NA,13.8,43,6.6,1.3,27.9,12.7
237,APURIMAC,2019,6.8,30.5,17.2,71.6,NA,16.1,0.1,99.8,NA,NA,21,17,0,14,60,NA,NA,NA,90.1,6.1,491,7.4,10.5,31.3,35.6,12.6,32.4,NA,12.6,93.5,86.6,48.1,70.4,14,2.4,25.8,NA,95.8,73,95.9,38.2,0.2,-0.7,5.7,NA,11.6,56,3,-0.4,25.1,6.3
238,AREQUIPA,2019,0.5,13.3,37.9,91.7,NA,6.1,0.1,98.6,NA,NA,325,40,0,2,77.3,NA,NA,NA,66.9,10.8,6105,24.1,30.9,46.4,44.2,3.1,34.5,NA,3.1,91.8,78.2,72.2,74.5,12.2,8.3,34.1,NA,96.3,92.7,98.9,95,-2.6,-1.2,8.4,NA,13.8,9.3,9.3,3.8,22.2,20.6
239,AYACUCHO,2019,6.8,36.9,15.3,78.1,NA,17.3,0.6,98.9,NA,NA,56,32,1,19,59.8,NA,NA,NA,89.5,9.2,477,10,13.6,31.7,34.5,11.5,19.4,NA,11.5,87.8,79.8,50.9,67,11.2,3.4,28.6,NA,93.6,80.6,94,41.4,2.3,2.7,5.1,NA,17,31.3,3.1,-1.5,28.5,5.3
240,CAJAMARCA,2019,11.2,36.9,13.9,68.4,NA,25.6,1,87.1,NA,NA,72,15,1,1,50.1,NA,NA,NA,87.1,5.8,959,7.8,12,23.9,28.7,12.1,28.9,NA,12.1,86.3,58.9,26.4,52.5,7.7,0.8,23.9,NA,89.7,78.5,90.6,39.9,2.1,1.2,5.4,NA,14.2,58.8,6.8,2.3,27,6.1
241,CALLAO,2019,0.5,13.3,44.8,95.1,NA,3.8,0.2,99.7,NA,NA,530,110,0,2,76.7,NA,NA,NA,77.5,18.4,2316,18,20.3,43.5,38.9,1.9,29.5,NA,1.9,98.9,85.2,87.5,60.7,12.1,0,28.4,NA,97.6,96,99.7,99.1,NA,NA,7.8,NA,17.8,6,13,4,17.7,16.1
242,COSTA,2019,0.6,13.8,38.5,89.5,26.5,7.5,0.3,97.6,NA,NA,NA,NA,NA,NA,73.6,NA,58.6,NA,NA,11.4,NA,NA,NA,NA,NA,3,30,1,3,NA,NA,NA,NA,NA,NA,NA,36.4,NA,91.3,99.2,94.3,NA,NA,NA,5.4,17.4,11.6,NA,0.2,NA,14
243,COSTA RURAL,2019,2.1,21.1,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
244,COSTA URBANA,2019,0.6,12.3,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA
245,CUSCO,2019,3,23.6,19.1,75.8,NA,14,0.8,98.3,NA,NA,177,29,2,8,67.6,NA,NA,NA,82.3,8,2804,11.7,16.1,37.3,41.7,9.9,35.9,NA,9.9,97.5,83,58.6,66.5,15.1,1.8,25.3,NA,93.6,77.6,93.8,66.7,0.1,-2.8,6,NA,13.8,45.5,5.7,1.5,26.4,14.7
246,HUANCAVELICA,2019,6.8,36.9,14.1,69.9,NA,30.7,0.2,94.6,NA,NA,27,25,0,5,50.6,NA,NA,NA,94.1,7.3,313,4.5,8.1,28.2,36.9,12.5,23.6,NA,12.5,89.3,75.1,50.8,68.4,12.9,7.1,25.4,NA,88.5,74,92.7,33.9,1.6,-1.8,4,NA,10.6,63.2,4.4,4.1,27.8,7
247,HUANUCO,2019,3,30.5,13.6,50.2,NA,19.4,0.1,95.3,NA,NA,109,56,0,6,50.3,NA,NA,NA,85.8,9.7,841,6.4,8.4,26.7,29.6,13.6,24.2,NA,13.6,80.3,55.8,38.8,69.9,8.5,3.6,26.9,NA,72,57.5,89.4,43.1,1,1,5.5,NA,12.3,48.6,4.6,0.6,28.4,11.8
248,ICA,2019,0.5,2.6,51.6,87.5,NA,5.5,0.5,99.7,NA,NA,226,81,0,1,70.9,NA,NA,NA,71.1,9.7,2298,15.6,20,39.1,40.5,2.3,32.8,NA,2.3,92.9,81.6,76.1,53.1,8.3,14,36.5,NA,92.6,90.3,99,96.7,0.9,-0.7,7.1,NA,13.3,10.5,12.3,0.9,15.6,5.6
249,JUNIN,2019,3,23.6,22.5,75,NA,18.7,0.3,91.2,NA,NA,195,48,4,8,65.7,NA,NA,NA,73.7,11.8,2230,15.7,23.6,34.1,38.1,7,30.3,NA,7,90.2,60.1,43.3,55,10.1,4,33.3,NA,90.5,79.1,92.5,66.3,-1.7,-4,6,NA,10.3,30.2,5.8,-0.1,25.9,9.4
250,LA LIBERTAD,2019,6.8,23.6,30.3,79.5,NA,12.7,0.3,90.4,NA,NA,471,54,4,3,58.6,NA,NA,NA,72.8,7.6,6236,13.1,14.9,28.7,30.8,5.1,22.4,NA,5.1,98.2,59.1,53.3,53.7,5.8,1.2,29.5,NA,91.8,83.5,97.6,77.5,1.3,1.4,6.8,NA,16.4,28.7,10.1,-7,26,11.2
251,LAMBAYEQUE,2019,0.5,13.3,27.9,81.6,NA,11.2,0.4,94.6,NA,NA,53,46,0,5,72.5,NA,NA,NA,78.6,8,3139,12.6,15.2,31.1,28.9,5.2,24.5,NA,5.2,93.5,63.1,51,54.7,6.9,5.3,34.9,NA,94.8,83.6,97.7,83.2,0.8,1,5.8,NA,18.2,22.8,9.5,0.2,24.1,4.5
252,LIMA,2019,0.4,14.2,41.5,95.7,29.9,4.9,0.3,99.7,NA,NA,3753,119,NA,6,76.3,NA,NA,NA,74.4,13.1,NA,22.5,24.9,44.4,39.1,2.1,31.7,NA,2.1,99.4,91.2,94.7,70.6,9.6,2.3,39.7,37,96.7,96.7,99.7,99.4,NA,NA,9.6,6.4,18.1,7.1,12.5,0.1,17.9,17
253,LORETO,2019,6.8,30.5,23.6,39,NA,23.7,0.9,70.2,NA,NA,622,122,2172,17,65,NA,NA,NA,86.8,13.5,1091,3.1,2.2,9.1,5.7,6.4,15,NA,6.4,23.1,13.2,9.7,41.4,10,1.9,31.7,NA,57.7,46.6,78.6,46.5,3.3,4.7,6.5,NA,20.1,23.8,5.2,2,30.4,4.2
254,MADRE DE DIOS,2019,0.5,13.3,22.1,55.8,NA,8.4,0.2,97,NA,NA,104,139,26,5,66.2,NA,NA,NA,69.9,19.1,195,7,9.9,23.4,20.1,3.5,35.7,NA,3.5,69.1,43.7,25,44.7,11.4,0,39.7,NA,86.3,58.9,94.5,81.2,-9.2,-3.1,7.5,NA,12,13.9,8.9,-3.8,23,20.5
255,MOQUEGUA,2019,0.5,13.3,49.2,89.8,NA,2.5,0.2,99.6,NA,NA,56,66,0,1,68.5,NA,NA,NA,80.8,9.6,344,24.6,34.1,52,53.6,4.3,43.1,NA,4.3,89.1,93.9,85.3,72.4,6.9,0,31.8,NA,97,90.9,95.8,83.1,-5.5,-6.6,9.1,NA,9.4,16.8,6.3,-1.9,27.5,11.5
256,PASCO,2019,3,30.5,28.6,65.7,NA,16,0.2,96.1,NA,NA,12,20,0,5,54.1,NA,NA,NA,85,11.1,281,9.9,14,29.3,34.5,6,26,NA,6,83.9,70.3,61.6,74,9.1,0,28.8,NA,83.8,71.8,89.4,62.8,2.1,5.6,5.3,NA,17.9,43.6,4.7,6.9,27.8,11.2
257,PIURA,2019,3,23.6,29.7,66.8,NA,13,0.4,92.3,NA,NA,407,23,0,2,74.5,NA,NA,NA,78.9,7.3,2490,11.6,13.4,30,31.1,7.1,23.8,NA,7.1,92.1,57.3,39.3,65.9,13.9,7.7,27.6,NA,89,70.8,95.5,68,1.8,-0.8,5.9,NA,16,25.3,9.8,2.1,29.3,5.5
258,LIMA PROVINCIAS,2019,0.5,13.3,29.8,77.6,NA,9.5,0.2,98.8,NA,NA,265,97,NA,6,69.8,NA,NA,NA,78.5,12.3,NA,13.5,17.8,32.4,34.1,4.4,27.8,NA,4.4,95.4,56.8,58,79.8,12,12.7,33.5,NA,91.6,79.6,98.9,86.2,NA,NA,6.5,NA,15.3,11.9,6.4,0.9,23.2,11.8
259,PUNO,2019,6.8,36.9,14.4,59.5,NA,12.6,0.2,92.8,NA,NA,75,29,0,1,60,NA,NA,NA,69.6,5.6,1688,10.1,16.6,36,45.6,8.6,29.2,NA,8.6,94.5,58.6,23.5,84.7,12,3.7,24.9,NA,70.8,70.3,93.8,79.4,1.4,0.8,5,NA,11.9,40.4,7.3,3.2,28.1,20.3
260,RESTO PAIS,2019,4,23.1,24.8,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,76,94.1,67,NA,NA,NA,3.7,14.6,NA,NA,NA,NA,10.4
261,RURAL,2019,9.8,40.8,9.2,41,26.2,24.5,0.6,82.4,NA,NA,NA,NA,NA,NA,54.1,NA,NA,103,87,8,NA,2.4,4.8,11.4,15.5,14.5,16.5,1,14.5,79.2,51.3,28.2,59.7,10.7,NA,NA,34.7,74.9,49.5,83.3,24.8,NA,NA,4.1,NA,13.6,57.8,3.7,1.3,27,7.4
262,SAN MARTIN,2019,3,23.6,17.6,65.2,NA,11.5,0.5,91.7,NA,NA,179,36,13,7,60.7,NA,NA,NA,83.6,10.8,574,6.9,8.6,24.2,24.1,7.3,24.1,NA,7.3,84.4,34.3,25.1,65.9,12.6,10.4,30.7,NA,87.4,70.5,95.3,59.5,-1.2,-3.4,5.8,NA,13.4,30.8,4.6,2.3,25.6,6
263,SELVA,2019,3.9,25.8,18.1,53.1,22.3,17.7,0.8,83.6,NA,NA,NA,NA,NA,NA,64.8,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,7,21.2,1.1,7,NA,NA,NA,NA,NA,NA,NA,32.2,NA,59.3,86.2,55.3,NA,NA,NA,2.6,15.9,31.8,NA,2.4,NA,7
264,SELVA RURAL,2019,7.1,37.3,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA
265,SELVA URBANA,2019,2,19,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
266,SIERRA,2019,6.5,29.3,20.2,71.6,29.3,20.3,0.4,92.4,NA,NA,NA,NA,NA,NA,60.1,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,9.9,29.2,1,9.9,NA,NA,NA,NA,NA,NA,NA,29.1,NA,76.8,93.9,56,NA,NA,NA,3.8,12.7,43.9,NA,0.8,NA,12.1
267,SIERRA RURAL,2019,12,45.2,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
268,SIERRA URBANA,2019,1.9,16.1,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.2,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
269,TACNA,2019,0.5,13.3,32.2,92.1,NA,2.4,0,98.8,NA,NA,137,103,0,1,67.8,NA,NA,NA,60.3,7.3,1205,27,38,53.7,63.5,3.3,40.2,NA,3.3,91.5,83.3,81.8,68,7.3,3.6,36.7,NA,96.5,93.4,97.8,92.9,19.8,22.7,7,NA,15.3,16.8,7.6,2.3,23,20.7
270,TOTAL,2019,2.9,20.2,30.4,79.3,26.8,12.2,0.4,94.4,NA,NA,8754,72,76,5,69.3,NA,NA,47,77.7,10.6,86252,14.5,17.7,34.5,34,5.6,28.7,1,5.6,83.9,61.4,44.3,63.2,10,4.8,29.9,33.5,90.6,82.7,95.9,77.7,0.3,0,7.3,4.8,15.7,25.8,8.9,1,25.7,12.6
271,TUMBES,2019,0.5,13.3,22.2,66.3,NA,7.5,0.4,99.3,NA,NA,96,36,29,3,74.8,NA,NA,NA,84.2,13.1,229,8.2,8,19.4,16.9,3.5,30.2,NA,3.5,96,74.7,61.6,53.5,9.8,7.7,34.7,NA,79.6,71.9,99.4,95.5,1.3,2.4,6,NA,15.9,10.1,6.6,1.4,21.7,12.1
272,UCAYALI,2019,0.5,13.3,23.4,42.8,NA,17.7,1,88.9,NA,NA,355,159,4,4,81.6,NA,NA,NA,76.1,14.4,571,4.8,4.7,17.3,13,4.7,18.7,NA,4.7,40.5,24.9,22.6,42.6,6.2,5.9,36.9,NA,75.3,50,89.8,74.5,1.9,3,5.9,NA,17.5,22.1,8,-0.1,24,5.9
273,URBANA,2019,1,14.6,35.6,89.7,27,7.6,0.4,98.6,NA,NA,NA,NA,NA,NA,72.9,NA,NA,35,75.1,11.2,NA,16,19.3,37.1,36,3.4,31.5,1,3.4,93.3,81.7,76.4,65,9.8,NA,NA,33.4,95.1,91.7,99.3,91.1,NA,NA,7.9,NA,16.3,14,10.3,0.4,22.4,14
274,AMAZONAS,2020,7.3,33,NA,NA,NA,17.6,0.9,87.2,22,NA,111,NA,NA,NA,NA,NA,54.6,NA,88.4,NA,272,NA,NA,NA,NA,8.7,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,87.7,NA,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,ANCASH,2020,3,33,NA,NA,NA,16.8,0.1,97.7,17,NA,85,NA,NA,NA,NA,NA,50.5,NA,82.6,NA,1718,NA,NA,NA,NA,10.3,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,94.6,NA,97.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,APURIMAC,2020,7.3,33,NA,NA,NA,17.5,0.4,99.5,22,NA,9,NA,NA,NA,NA,NA,52.7,NA,91.1,NA,489,NA,NA,NA,NA,13.5,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,AREQUIPA,2020,3,17.3,NA,NA,NA,6,0.2,99.5,13,NA,122,NA,NA,NA,NA,NA,56.2,NA,63.9,NA,6317,NA,NA,NA,NA,3.1,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,AYACUCHO,2020,12.9,43.6,NA,NA,NA,18.1,0.7,99.5,22,NA,36,NA,NA,NA,NA,NA,46.3,NA,88.5,NA,502,NA,NA,NA,NA,9.3,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,94.7,NA,95.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,CAJAMARCA,2020,12.9,43.6,NA,NA,NA,24.4,0.9,88.2,17,NA,40,NA,NA,NA,NA,NA,44.4,NA,86.6,NA,993,NA,NA,NA,NA,11.4,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,90.7,NA,93.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,CALLAO,2020,3,33,NA,NA,NA,5.6,0.2,99.8,13,NA,294,NA,NA,NA,NA,NA,60.3,NA,76.7,NA,2298,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,97.6,NA,99.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,COSTA,2020,2.3,25.9,NA,NA,NA,5.9,0.4,99.1,NA,NA,NA,NA,NA,NA,NA,NA,59.2,NA,NA,1.6,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,COSTA RURAL,2020,4.5,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,COSTA URBANA,2020,1.3,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,CUSCO,2020,7.3,33,NA,NA,NA,13.5,0.4,99.3,22,NA,150,NA,NA,NA,NA,NA,52.2,NA,82.3,NA,2964,NA,NA,NA,NA,8.8,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,91.1,NA,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,HUANCAVELICA,2020,12.9,43.6,NA,NA,NA,31.5,0.1,97.3,22,NA,13,NA,NA,NA,NA,NA,38,NA,94.3,NA,317,NA,NA,NA,NA,10.9,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,93.1,NA,92.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,HUANUCO,2020,12.9,43.6,NA,NA,NA,19.3,0.2,97.4,23,NA,49,NA,NA,NA,NA,NA,55.1,NA,86.9,NA,882,NA,NA,NA,NA,13.7,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,83.3,NA,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
